episode,length,total_reward,J15_reward,J16_reward,J17_reward,J18_reward
838280434815772246,200,-0.7799999999999979,-0.20999999999999996,-0.38,-0.05999999999999997,-0.13
658587866194141312,200,-5.109999999999995,-0.9800000000000001,-3.21,-0.17,-0.75
567524662845064326,200,-1.16,-0.27,-0.17,-0.28,-0.43999999999999956
82813195595972861,200,-1.9700000000000009,-0.17,-1.3399999999999999,-0.029999999999999777,-0.43
873651681033245096,200,-2.719999999999996,-0.16,-1.949999999999999,-0.05999999999999975,-0.5499999999999999
267893713334250086,200,-2.9800000000000026,-9.71445146547012e-17,-1.19,-1.59,-0.2
272788148569914444,200,-1.3699999999999968,-0.61,-0.5399999999999998,-0.19000000000000022,-0.03
917252537580872913,200,-3.8899999999999952,9.43689570931383e-16,-2.75,-0.23999999999999994,-0.9
827586378462923173,200,-3.0599999999999934,-1.6999999999999995,-0.9899999999999998,-0.22,-0.15
837268678997558054,200,-0.7499999999999968,-0.09999999999999998,-0.4200000000000002,-0.16,-0.07
812389796533306038,200,-3.3599999999999985,-0.7000000000000002,-1.42,-1.1800000000000002,-0.05999999999999911
783391462190566595,200,-1.7499999999999982,-0.02999999999999993,-1.2,-0.04,-0.48
300372274504695481,200,-1.3499999999999974,-0.6200000000000002,-0.42,-0.10000000000000003,-0.21000000000000002
257848768313611296,200,-5.690000000000001,-1.6799999999999993,-3.44,-0.03000000000000011,-0.54
646026249107271387,200,-0.4700000000000045,-0.2299999999999998,-0.04999999999999977,-0.19,-1.1102230246251565e-16
122512084245308355,200,-0.9100000000000018,-0.52,-0.1000000000000002,-0.26,-0.030000000000000006
30613475402537563,200,-0.8800000000000031,-0.5199999999999996,-0.08000000000000002,-0.21000000000000024,-0.07000000000000012
405416450442934319,200,-0.779999999999997,-0.32999999999999996,-0.14000000000000012,-0.09999999999999978,-0.2099999999999998
837604934114336621,200,-0.7100000000000036,-0.37,-0.24000000000000019,-0.04,-0.06
742434958818805818,200,-2.4699999999999958,0.0,-1.47,-1.0,0.0
689471175082567710,200,-1.3999999999999972,-1.1102230246251565e-16,0.0,-0.029999999999999805,-1.37
238214601469641146,200,-2.280000000000001,-0.59,-1.5,-0.02000000000000011,-0.1699999999999998
885348841048924552,200,-1.7899999999999978,-0.10999999999999997,-0.9800000000000001,-0.059999999999999776,-0.6399999999999997
908437430546162252,200,-3.790000000000004,-1.71,-0.1,-0.66,-1.32
979805227140573624,200,-0.4100000000000009,-0.03000000000000047,-0.01999999999999956,-0.12,-0.24
452604639816767175,200,-2.4400000000000004,-0.9099999999999998,-1.25,-0.06,-0.2199999999999999
569085720571585405,200,-2.7600000000000007,-1.45,-0.2399999999999997,-0.96,-0.10999999999999997
583191838172062631,200,-3.680000000000006,-0.55,-2.14,-0.30999999999999994,-0.68
948864248245235488,200,-2.559999999999999,-0.7299999999999999,-0.76,-0.87,-0.2
524525914409629898,200,-1.5900000000000036,-0.08999999999999964,-1.36,-0.07999999999999995,-0.06000000000000022
686869878484764635,200,-0.2800000000000027,-0.08000000000000002,-0.02000000000000006,-0.14999999999999977,-0.03
816941612981961353,200,-0.7600000000000011,2.220446049250313e-16,-0.41,-0.1999999999999998,-0.15
480477304876314463,200,-1.740000000000002,-0.6299999999999997,-0.3,-0.7,-0.11
516610689007834298,200,-1.6099999999999983,-0.9099999999999999,-0.33000000000000007,-0.20999999999999996,-0.15999999999999992
39559835373736719,200,-0.8200000000000018,-0.18,-0.08999999999999977,-0.1,-0.45
79687424194393300,200,-0.700000000000004,-0.22000000000000008,-0.1799999999999991,-0.21000000000000005,-0.08999999999999987
821989130183151779,200,-0.6299999999999987,-1.1102230246251565e-16,-0.36000000000000004,-0.05000000000000002,-0.22
995237989733477402,200,-0.489999999999999,-0.12000000000000008,-0.3,-0.06999999999999976,9.367506770274758e-17
